Title,Price (£),Price (€),Rating
A Light in the Attic,51.77,60.57,3
Tipping the Velvet,53.74,62.88,1
Soumission,50.1,58.62,1
Sharp Objects,47.82,55.95,4
Sapiens: A Brief History of Humankind,54.23,63.45,5
The Requiem Red,22.65,26.5,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,39.01,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,20.98,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,26.44,4
The Black Maria,52.15,61.02,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,16.37,2
Shakespeare's Sonnets,20.66,24.17,4
Set Me Free,17.46,20.43,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,61.18,5
Rip it Up and Start Again,35.02,40.97,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,66.98,3
Olio,23.88,27.94,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,43.98,1
Libertarianism for Beginners,51.33,60.06,2
It's Only the Himalayas,45.17,52.85,2
In Her Wake,12.84,15.02,1
How Music Works,37.32,43.66,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,35.71,3
Chase Me (Paris Nights #2),25.27,29.57,5
Black Dust,34.53,40.4,5
Birdsong: A Story in Pictures,54.64,63.93,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,26.32,3
Aladdin and His Wonderful Lamp,53.13,62.16,3
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,47.15,5
Wall and Piece,44.18,51.69,4
The Four Agreements: A Practical Guide to Personal Freedom,17.66,20.66,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,36.33,3
The Elephant Tree,23.82,27.87,5
The Bear and the Piano,36.89,43.16,1
Sophie's World,15.94,18.65,5
Penny Maybe,33.29,38.95,3
Maude (1883-1993):She Grew Up with the country,18.02,21.08,2
"In a Dark, Dark Wood",19.63,22.97,1
Behind Closed Doors,52.22,61.1,4
You can't bury them all: Poems,33.63,39.35,2
Slow States of Collapse: Poems,57.31,67.05,3
Reasons to Stay Alive,26.41,30.9,2
Private Paris (Private #10),47.61,55.7,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,27.04,5
Without Borders (Wanderlove #1),45.07,52.73,2
When We Collided,31.77,37.17,1
"We Love You, Charlie Freeman",50.27,58.82,5
Untitled Collection: Sabbath Poems 2014,14.27,16.7,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,51.69,4
Unicorn Tracks,18.78,21.97,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,29.86,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,19.05,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,36.41,3
This One Summer,19.49,22.8,4
Thirst,17.27,20.21,5
The Torch Is Passed: A Harding Family Story,19.09,22.34,1
The Secret of Dreadwillow Carse,56.13,65.67,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,66.0,1
The Past Never Ends,56.5,66.1,4
The Natural History of Us (The Fine Art of Pretending #2),45.22,52.91,3
The Nameless City (The Nameless City #1),38.16,44.65,4
The Murder That Never Was (Forensic Instincts #5),54.11,63.31,3
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,50.26,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,27.95,4
